Class Session Code,Subject Area,Course Catalog Number,Class Number,Course Component Short Description,Class Start Date,End Date,Instruction Mode Description,Facility ID,Start Time,End Time,Derived Meeting Pattern,Instructor Name,Instructor Role Description
1,BUS-M,301,27358,Lecture,1/12/2026,5/8/2026,In Person,KOMN108,10:00:00 AM,11:15:00 AM,TR,"Li,Yiping",Primary Instructor
1,BUS-M,405,26801,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN127,2:30:00 PM,3:45:00 PM,T,"Preece,Gloria Lynn",Primary Instructor
1,BUS-M,450,27576,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN127,2:30:00 PM,3:45:00 PM,R,"Li,Yiping",Primary Instructor
1,BUS-M,491,35290,Intern,1/12/2026,5/8/2026,In Person, , , , ,"Leicht,Ashley Marie",Primary Instructor
1,BUS-P,301,26712,Lecture,1/12/2026,5/8/2026,In Person,KOMN127,1:00:00 PM,2:15:00 PM,TR,"Meybodi,Mohammad Z.",Primary Instructor
1,BUS-W,100,26849,Lecture,1/12/2026,5/8/2026,In Person,KOMN100,11:30:00 AM,12:45:00 PM,TR,"Leicht,Ashley Marie",Primary Instructor
1,BUS-W,100,26959,Lecture,1/12/2026,5/8/2026,In Person,KOMN100,10:00:00 AM,11:15:00 AM,TR,"Leicht,Ashley Marie",Primary Instructor
1,BUS-W,100,27019,Lecture,1/12/2026,5/8/2026,In Person,KOMN108,10:00:00 AM,11:15:00 AM,MW,"Byrd,Sarah",Primary Instructor
1,BUS-W,100,27183,Lecture,1/12/2026,5/8/2026,In Person,KOMN204,1:00:00 PM,2:15:00 PM,TR,"Byrd,Sarah",Primary Instructor
1,BUS-X,107,27152,Lecture,1/12/2026,5/8/2026,In Person,KELL144,11:30:00 AM,12:45:00 PM,MW,"Byrd,Sarah",Primary Instructor
8W2,BUS-X,220,27100,Lecture,3/9/2026,5/8/2026,Hybrid-On Campus & Online,KOMN100,2:30:00 PM,3:45:00 PM,T,"Leicht,Ashley Marie",Primary Instructor
1,BUS-X,487,26713,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN100,2:30:00 PM,3:45:00 PM,R,"Geiger,James David",Primary Instructor
1,BUS-Z,302,26817,Lecture,1/12/2026,5/8/2026,In Person,KOMN113,4:00:00 PM,5:15:00 PM,TR,"Clayton,Elizabeth Diane",Primary Instructor
1,BUS-Z,447,27221,Lecture,1/12/2026,5/8/2026,In Person,KOMN100,1:00:00 PM,2:15:00 PM,TR,"Clayton,Elizabeth Diane",Primary Instructor
1,BUS-Z,460,28721,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN102,11:30:00 AM,12:45:00 PM,R,"Gupta,Jyoti P.",Primary Instructor
1,BUS-Z,470,27359,Lecture,1/12/2026,5/8/2026,Hybrid-On Campus & Online,KOMN204,11:30:00 AM,12:45:00 PM,T,"Smith,Adam R",Primary Instructor
1,CHEM-C,100,27283,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,11:30:00 AM,12:45:00 PM,TR,"Wilson,Linda Wright",Primary Instructor
1,CHEM-C,106,26714,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,8:30:00 AM,9:45:00 AM,TR,"Kasem,Kasem Kamel",Primary Instructor
1,CHEM-C,109,26785,Lecture,1/12/2026,5/8/2026,In Person,HUNT116,11:30:00 AM,12:45:00 PM,MW,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,120,27423,Laboratory,1/12/2026,5/8/2026,In Person,HUNT226,2:30:00 PM,3:30:00 PM,M,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,120,27423,Laboratory,1/12/2026,5/8/2026,In Person,HUNT231,3:30:00 PM,5:00:00 PM,M,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26715,Laboratory,1/12/2026,5/8/2026,In Person,HUNT226,10:00:00 AM,11:00:00 AM,T,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26715,Laboratory,1/12/2026,5/8/2026,In Person,HUNT231,11:00:00 AM,12:30:00 PM,T,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26716,Laboratory,1/12/2026,5/8/2026,In Person,HUNT226,10:00:00 AM,11:00:00 AM,R,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26716,Laboratory,1/12/2026,5/8/2026,In Person,HUNT231,11:00:00 AM,12:30:00 PM,R,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26848,Laboratory,1/12/2026,5/8/2026,In Person,HUNT226,2:30:00 PM,3:30:00 PM,R,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,126,26848,Laboratory,1/12/2026,5/8/2026,In Person,HUNT231,3:30:00 PM,5:00:00 PM,R,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,128,27410,Lecture,1/12/2026,5/8/2026,In Person,KOMN082,10:00:00 AM,11:15:00 AM,TR,"Tupa,Peter Robert",Primary Instructor
1,CHEM-C,129,27156,Laboratory,1/12/2026,5/8/2026,In Person,HUNT226,2:30:00 PM,3:30:00 PM,W,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,129,27156,Laboratory,1/12/2026,5/8/2026,In Person,HUNT231,3:30:00 PM,5:00:00 PM,W,"Tanner,Amanda Sharon",Primary Instructor
1,CHEM-C,250,28230,Lecture,1/12/2026,5/8/2026,In Person,HUNT226,10:00:00 AM,11:15:00 AM,MW,"Masuda,Hisako",Primary Instructor
1,CHEM-C,310,26717,Lecture,1/12/2026,5/8/2026,In Person,HUNT226,11:30:00 AM,12:45:00 PM,MW,"Kasem,Kasem Kamel",Primary Instructor
1,CHEM-C,311,26718,Laboratory,1/12/2026,5/8/2026,In Person,HUNT228,1:00:00 PM,4:00:00 PM,T,"Kasem,Kasem Kamel",Primary Instructor
1,CHEM-C,340,27143,Lecture,1/12/2026,5/8/2026,In Person,HUNT226,8:30:00 AM,9:45:00 AM,TR,"Masuda,Hisako",Primary Instructor
